index	track_id	track_name	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	playlist_genre	playlist_subgenre	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	language
1	004s3t0ONYlzxII9PLgU6z	I Feel Alive	Steady Rollin	28	3z04Lb9Dsilqw68SHt6jLB	Love & Loss	2017-11-21	Hard Rock Workout	3YouF0u7waJnolytf9JCXf	rock	hard rock	0.303	0.88	9	-4.739	1	0.0442	0.0117	0.009940000000000001	0.34700000000000003	0.40399999999999997	135.225	373512	en
2	00chLpzhgVjxs1zKC9UScL	Poison	Bell Biv DeVoe	0	6oZ6brjB8x3GoeSYdwJdPc	Gold	2005-01-01	Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.	3a9y4eeCJRmG9p4YKfqYIx	r&b	new jack swing	0.845	0.652	6	-7.504	0	0.21600000000000005	0.00432	0.007229999999999999	0.489	0.65	111.904	262467	en
3	00cqd6ZsSkLZqGMlQCR0Zo	Baby It's Cold Outside (feat. Christina Aguilera)	CeeLo Green	41	3ssspRe42CXkhPxdc12xcp	CeeLo's Magic Moment	2012-10-29	Christmas Soul	6FZYc2BvF7tColxO8PBShV	r&b	neo soul	0.425	0.37799999999999995	5	-5.819	0	0.0341	0.6890000000000001	0.0	0.0664	0.405	118.59299999999999	243067	en
4	00emjlCv9azBN0fzuuyLqy	Dumb Litty	KARD	65	7h5X3xhh3peIK9Y0qI5hbK	KARD 2nd Digital Single ‘Dumb Litty’	2019-09-22	K-Party Dance Mix	37i9dQZF1DX4RDXswvP6Mj	pop	dance pop	0.76	0.887	9	-1.993	1	0.0409	0.037000000000000005	0.0	0.138	0.24	130.018	193160	en
5	00f9VGHfQhAHMCQ2bSjg3D	Soldier	James TW	70	3GNzXsFbzdwM0WKCZtgeNP	Chapters	2019-04-26	urban contemporary	4WiB26kw0INKwbzfb5M6Tv	r&b	urban contemporary	0.496	0.639	6	-6.157	1	0.055	0.28	0.0	0.0975	0.305	147.764	224720	en
6	00FROhC5g4iJdax5US8jRr	Satisfy You	Diddy	52	2dHr0LpUe6CNV5lNsr8x0W	Forever	1999-08-24	Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban	3krpccUV68nBGAQbvHEZDC	r&b	new jack swing	0.764	0.594	6	-10.05	1	0.185	0.591	0.0	0.145	0.695	87.26100000000002	286441	en
7	00GfGwzlSB8DoA0cDP2Eit	Tender Lover	Babyface	36	51fAXJ5bMn7DRSunXQ6PMb	Tender Lover	1989-07-07	New Jack Swing	3ykXidKLz1eYPvuGoFlD1e	r&b	new jack swing	0.743	0.86	5	-6.346	1	0.0445	0.226	0.00042199999999999996	0.0513	0.687	102.459	259267	en
8	00Gu3RMpDW2vO9PjlMVFDL	Hide Away (feat. Envy Monroe)	Blasterjaxx	42	5pqG85igfoeWcCDIsSi9x7	Hide Away (feat. Envy Monroe)	2019-06-21	Big Room EDM - by Spinnin' Records	7xWdFCrU5Gka6qp1ODrSdK	edm	big room	0.573	0.746	10	-4.894	1	0.0421	0.0249	0.0	0.361	0.134	130.001	188000	en
11	00HIh9mVUQQAycsQiciWsh	Limestone	Magic City Hippies	58	7mtoEwzZYBqG8JYItxcccG	Hippie Castle EP	2015-07-24	Indie Poptimism	1pZWCY50kMUhshcESknir8	pop	indie poptimism	0.706	0.457	4	-9.359	1	0.0383	0.282	0.008490000000000001	0.0614	0.723	78.014	209165	en
13	00i2HU7TEzzftShjRrDSEF	Changes	2Pac	72	4Y9ISbppFbwk0r1XCLUi0I	The Best of 2Pac - Pt. 1: Thug	2007-01-01	90s Gangsta Rap / Top Hip-hop Classics	0C2zyPdlkbWHrwVg9gqNdU	rap	gangster rap	0.865	0.657	7	-6.722	1	0.076	0.0404	0.0	0.14	0.316	111.115	268960	en
15	00ITtxUozN0vifE2uYvtqn	Let Me Entertain You - Remastered 2011	Queen	41	2yuTRGIackbcReLUXOYBqU	Jazz (2011 Remaster)	1978-11-10	The Queen - La Discografia Completa	3E88dLx4fgFYY70gdGzdnB	rock	album rock	0.521	0.902	11	-4.8260000000000005	0	0.19699999999999998	0.0164	0.00105	0.737	0.5920000000000001	104.708	181693	en
16	00LfFm08VWeZwB0Zlm24AT	Suga Suga	Baby Bash	8	2bAkYizbM1rMbOUHpfAV9z	Tha Smokin' Nephew	2003-01-01	90s/00s Hip Hop & RnB	0Ar0Ng9DlAWZtSPBvOQgOa	r&b	hip pop	0.662	0.748	5	-3.0410000000000004	0	0.268	0.688	8.43e-06	0.0841	0.535	82.331	239027	en
17	00lNx0OcTJrS3MKHcB80HY	You Don't Know Me - Radio Edit	Jax Jones	14	4eYnvtB4sTtfGr0903YMn4	You Don't Know Me	2016-12-09	BALLARE - رقص	1CMvQ4Yr5DlYvYzI0Vc2UE	pop	post-teen pop	0.8759999999999999	0.669	11	-6.053999999999999	0	0.138	0.163	0.0	0.185	0.682	124.007	213947	en
